AirportCode,ZipCode
IAD,20166
TPA,33607,Man edit was 33609
IND,46241
BWI,21240
JAX,32218
LAS,89119
MCI,64153
MCO,32827
MDW,60638
PHX,85034
ISP,11779
FLL,33315
PBI,33406
RSW,33913
JAN,39232
HOU,77061
BHM,35212
BNA,37217
ORF,23518
PHL,19153,Man edit was 19113
ABQ,87106
ALB,12110
AMA,79111
AUS,78719
BDL,06096
BOI,83705
BUF,14225
BUR,91505,Man edit was 91504
CLE,44135,Man edit was 44142
CMH,43219
DEN,80249
ELP,79925
GEG,99224
LAX,90045
LBB,79403
LIT,72202
MAF,79765
MHT,03103
MSY,70062
OAK,94621,Man edit was 94502
OKC,73159
OMA,68110
ONT,91761, was 91764
PDX,97218
PIT,15108
PVD,02888
RDU,27560, was 27617
RNO,89502
SAN,92101, was 92140
SAT,78216
SDF,40213
SEA,98158
SFO,94128
SJC,95110,was 95053
SLC,84116
SMF,95837
SNA,92707,was 92614
STL,63145, was 63134
TUL,74115
TUS,85706
DAL,75235
DTW,48242
HRL,78550
CRP,78406
ROC,14624, was 14619
EWR,07114, was 07201
DAY,45377
IAH,77032
ORD,60018
SYR,13211
XNA,72712, was 72718
LFT,70501
DCA,22202
GSO,27409
MYR,29577
MKE,53207, was 53110
CHS,29404
LCH,70607, was 70605
ATL,30337
CLT,28208
BTR,70811
SAV,31408
CRW,25311, was 25302
RIC,23250
FAT,93727, was 93703
COS,80916
MRY,93940
LGB,90045,s was 90755 changed to LAX
BFL,93308, was 93301
EUG,97404
ICT,67209
MEM,38116, was 38131
LGA,11371
BTV,05403, was 05439
GRK,76542,76549
MSN,53704
CAE,29170
BRO,78526
TYS,37803, was 37701 CHECK LATER
DSM,50321
BPT,77705, was 77627
GPT,39501, was 39507
TLH,32304
GRR,49512
DFW,76051
PWM,04102
SHV,71109
MSP,55450
CVG,41048, was 41042
HSV,35824
SRQ,34243
MTJ,81401
MGM,36043, was 36108
MFE,78503
GSP,29651, was 29650
CHA,37421, was 37411
LEX,40510, was 40513
ABE,18109
MLU,71203,71209
MOB,36608
LRD,78041
VPS,32580
PNS,32504
AEX,71303, 71303
BGR,04401
AVL,28704
BOS,02128
CLL,77845, was 77840
PSP,92262, was 92234
DAB,32114
ASE,81611, was 81615
ATW,54914, was 54942
