Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,OriginSnow,OriginPrcp,DestSnow,DestPrcp
2008,9,2,2,928,930,1023,1030,WN,154,N417WN,55,60,42,-7,-2,STL,MCI,237,4,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,208.0
2008,9,2,2,1548,1540,1644,1640,WN,334,N904WN,56,60,41,4,8,STL,MCI,237,4,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,208.0
2008,9,2,2,1940,1945,2046,2045,WN,349,N318SW,66,60,45,1,-5,STL,MCI,237,9,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,208.0
2008,9,2,2,629,635,722,735,WN,1639,N497WN,53,60,41,-13,-6,STL,MCI,237,3,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,208.0
2008,9,2,2,1254,1240,1401,1340,WN,1925,N633SW,67,60,50,21,14,STL,MCI,237,5,12,0,,0,0,0,7,1,13,0.0,0.0,0.0,208.0
2008,9,2,2,1916,1920,2219,2235,WN,579,N733SA,123,135,111,-16,-4,STL,MCO,880,3,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,756,800,1109,1120,WN,773,N467WN,133,140,111,-11,-4,STL,MCO,880,8,14,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1208,1215,1513,1540,WN,1072,N480WN,125,145,113,-27,-7,STL,MCO,880,4,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1602,1605,1911,1925,WN,1530,N352SW,129,140,112,-14,-3,STL,MCO,880,7,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,2120,2125,2215,2220,WN,132,N608SW,55,55,42,-5,-5,STL,MDW,251,5,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,840,840,935,940,WN,277,N203WN,55,60,39,-5,0,STL,MDW,251,7,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1851,1855,1952,1955,WN,337,N484WN,61,60,46,-3,-4,STL,MDW,251,6,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1223,1225,1318,1325,WN,583,N505SW,55,60,40,-7,-2,STL,MDW,251,4,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1010,1010,1103,1110,WN,770,N612SW,53,60,40,-7,0,STL,MDW,251,3,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,700,700,754,800,WN,855,N689SW,54,60,40,-6,0,STL,MDW,251,3,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1407,1355,1458,1455,WN,1107,N652SW,51,60,39,3,12,STL,MDW,251,3,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,NA,1650,NA,1750,WN,1526,,NA,60,NA,NA,NA,STL,MDW,251,NA,NA,1,A,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,2011,2015,2118,2115,WN,1612,N627SW,67,60,43,3,-4,STL,MDW,251,15,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1547,1545,1648,1650,WN,1837,N618WN,61,65,44,-2,2,STL,MDW,251,5,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,608,610,700,705,WN,2280,N220WN,52,55,39,-5,-2,STL,MDW,251,2,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1154,1155,1315,1320,WN,35,N316SW,81,85,69,-5,-1,STL,OKC,462,4,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,2031,1955,2156,2120,WN,1587,N700GS,85,85,69,36,36,STL,OKC,462,3,13,0,,0,36,0,0,0,0,0.0,0.0,0.0,0.0
2008,9,2,2,2005,2005,2108,2115,WN,391,N365SW,63,70,51,-7,0,STL,OMA,342,3,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,15.0
2008,9,2,2,1548,1550,1658,1700,WN,1849,N290WN,70,70,57,-2,-2,STL,OMA,342,3,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,15.0
2008,9,2,2,817,820,921,930,WN,1921,N238WN,64,70,51,-9,-3,STL,OMA,342,2,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,15.0
2008,9,2,2,1756,1800,2102,2145,WN,372,N749SW,126,165,110,-43,-4,STL,PHL,813,9,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,952,955,1312,1340,WN,871,N360SW,140,165,123,-28,-3,STL,PHL,813,5,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,633,635,741,755,WN,117,N617SW,188,200,172,-14,-2,STL,PHX,1262,5,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1801,1805,1919,1925,WN,121,N927WN,198,200,182,-6,-4,STL,PHX,1262,7,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,855,855,1010,1015,WN,147,N327SW,195,200,169,-5,0,STL,PHX,1262,10,16,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,2120,2125,2227,2240,WN,839,N507SW,187,195,174,-13,-5,STL,PHX,1262,4,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1231,1225,1335,1345,WN,1608,N914WN,184,200,166,-10,6,STL,PHX,1262,7,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,752,755,946,955,WN,224,N492WN,54,60,41,-9,-3,STL,SDF,254,4,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,2017,2015,2214,2215,WN,229,N296WN,57,60,42,-1,2,STL,SDF,254,3,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1202,1140,1356,1340,WN,1822,N266WN,54,60,40,16,22,STL,SDF,254,3,11,0,,0,16,0,0,0,0,0.0,0.0,0.0,0.0
2008,9,2,2,738,735,937,950,WN,848,N260WN,179,195,167,-13,3,STL,SLC,1156,3,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,1844,1845,2046,2055,WN,1209,N323SW,182,190,164,-9,-1,STL,SLC,1156,5,13,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
2008,9,2,2,843,845,1200,1200,WN,406,N628SW,137,135,118,0,-2,STL,TPA,869,3,16,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
