Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,OriginSnow,OriginPrcp,DestSnow,DestPrcp,Holiday
2008,2,2,6,727,725,832,840,WN,467,N415WN,65,75,48,-8,2,RNO,LAS,345,4,13,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1235,1235,1339,1350,WN,622,N452WN,64,75,50,-11,0,RNO,LAS,345,4,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1507,1450,1612,1600,WN,878,N360SW,65,70,51,12,17,RNO,LAS,345,4,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,900,900,1002,1010,WN,929,N494WN,62,70,51,-8,0,RNO,LAS,345,5,6,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1643,1645,1743,1755,WN,962,N323SW,60,70,48,-12,-2,RNO,LAS,345,5,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1012,1010,1118,1120,WN,1124,N709SW,66,70,54,-2,2,RNO,LAS,345,4,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1355,1355,1504,1510,WN,1230,N414WN,69,75,49,-6,0,RNO,LAS,345,12,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1128,1130,1238,1240,WN,1621,N703SW,70,70,55,-2,-2,RNO,LAS,345,8,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1615,1615,1720,1725,WN,2464,N644SW,65,70,52,-5,0,RNO,LAS,345,3,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1835,1830,1937,1940,WN,3771,N734SA,62,70,51,-3,5,RNO,LAS,345,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,659,700,816,820,WN,728,N232WN,77,80,60,-4,-1,RNO,LAX,390,7,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1241,1245,1349,1405,WN,1093,N308SA,68,80,55,-16,-4,RNO,LAX,390,5,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1848,1850,2003,2015,WN,1516,N900WN,75,85,57,-12,-2,RNO,LAX,390,6,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1028,1025,1549,1615,WN,142,N459WN,201,230,186,-26,3,RNO,MDW,1680,7,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1025,1015,1124,1115,WN,3153,N710SW,59,60,48,9,10,RNO,OAK,180,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1443,1435,1540,1530,WN,3492,N779SW,57,55,44,10,8,RNO,OAK,180,3,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1156,1145,1327,1315,WN,1668,N359SW,91,90,80,12,11,RNO,PDX,444,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,180.0,1
2008,2,2,6,1617,1615,1745,1745,WN,1752,N275WN,88,90,73,0,2,RNO,PDX,444,5,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,180.0,1
2008,2,2,6,1313,1305,1555,1545,WN,459,N382SW,102,100,87,10,8,RNO,PHX,601,7,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,853,855,1130,1140,WN,1664,N655WN,97,105,81,-10,-2,RNO,PHX,601,6,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1729,1735,1955,2015,WN,3421,N284WN,86,100,76,-20,-6,RNO,PHX,601,4,6,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,750,755,914,920,WN,170,N906WN,84,85,69,-6,-5,RNO,SAN,488,2,13,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1809,1805,1927,1930,WN,1470,N662SW,78,85,67,-3,4,RNO,SAN,488,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1523,1505,1711,1655,WN,2293,N617SW,108,110,95,16,18,RNO,SEA,564,5,8,0,,0,0,0,0,0,16,0.0,0.0,0.0,0.0,1
2008,2,2,6,706,710,852,900,WN,3946,N649SW,106,110,91,-8,-4,RNO,SEA,564,6,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,927,930,1025,1030,WN,203,N342SW,58,60,49,-5,-3,RNO,SJC,188,3,6,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,15.0,1
2008,2,2,6,1822,1730,1927,1830,WN,743,N748SW,65,60,53,57,52,RNO,SJC,188,4,8,0,,0,4,0,5,0,48,0.0,0.0,0.0,15.0,1
2008,2,2,6,1111,1115,1209,1215,WN,3661,N399WN,58,60,47,-6,-4,RNO,SJC,188,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,15.0,1
2008,2,2,6,1244,1225,1457,1445,WN,2374,N614SW,73,80,62,12,19,RNO,SLC,422,2,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1602,1600,1812,1820,WN,707,N496WN,130,140,114,-8,2,RSW,BWI,919,5,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1140,1140,1341,1400,WN,3568,N434WN,121,140,109,-19,0,RSW,BWI,919,4,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1901,1905,2130,2145,WN,3078,N691WN,149,160,140,-15,-4,RSW,ISP,1101,3,6,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1711,1715,1757,1805,WN,871,N673AA,46,50,30,-8,-4,RSW,MCO,133,9,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1038,1040,1123,1130,WN,1316,N403WN,45,50,30,-7,-2,RSW,MCO,133,8,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,635,640,713,725,WN,1424,N298WN,38,45,25,-12,-5,RSW,MCO,133,6,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1353,1330,1435,1420,WN,1657,N634SW,42,50,29,15,23,RSW,MCO,133,6,7,0,,0,0,0,0,0,15,0.0,0.0,0.0,0.0,1
2008,2,2,6,712,720,859,915,WN,1563,N550WN,167,175,151,-16,-8,RSW,MDW,1105,4,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1452,1450,1644,1645,WN,2788,N304SW,172,175,159,-1,2,RSW,MDW,1105,6,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,2011,2020,2157,2215,WN,3834,N370SW,166,175,156,-18,-9,RSW,MDW,1105,4,6,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1239,1240,1456,1525,WN,2961,N408WN,137,165,123,-29,-1,RSW,PHL,992,4,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1450,1450,1719,1730,WN,1196,N490WN,89,100,76,-11,0,SAN,ABQ,628,4,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1956,1950,2226,2230,WN,1470,N392SW,90,100,75,-4,6,SAN,ABQ,628,5,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1535,1535,1953,2015,WN,676,N262WN,138,160,128,-22,0,SAN,AUS,1164,4,6,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1021,1010,1547,1550,WN,983,N736SA,206,220,191,-3,11,SAN,BNA,1751,4,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1507,1510,2032,2050,WN,1689,N282WN,205,220,189,-18,-3,SAN,BNA,1751,5,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,714,715,1438,1505,WN,183,N200WN,264,290,247,-27,-1,SAN,BWI,2295,9,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1311,1235,2033,2020,WN,2787,N239WN,262,285,245,13,36,SAN,BWI,2295,4,13,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1356,1355,1633,1635,WN,3516,N206WN,97,100,76,-2,1,SAN,ELP,636,13,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1347,1300,1835,1755,WN,351,N735SA,168,175,154,40,47,SAN,HOU,1312,7,7,0,,0,2,0,0,0,38,0.0,0.0,0.0,0.0,1
2008,2,2,6,1108,1055,1219,1205,WN,310,N364SW,71,70,50,14,13,SAN,LAS,258,6,15,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1009,1010,1116,1120,WN,669,N743SW,67,70,50,-4,-1,SAN,LAS,258,5,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1543,1545,1659,1655,WN,1099,N763SW,76,70,52,4,-2,SAN,LAS,258,16,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,813,820,916,930,WN,1554,N435WN,63,70,50,-14,-7,SAN,LAS,258,4,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1721,1720,1832,1830,WN,1626,N680AA,71,70,54,2,1,SAN,LAS,258,3,14,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1247,1250,1400,1405,WN,2356,N372SW,73,75,49,-5,-3,SAN,LAS,258,4,20,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1822,1825,1941,1935,WN,2702,N749SW,79,70,53,6,-3,SAN,LAS,258,18,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1411,1400,1520,1510,WN,2724,N283WN,69,70,58,10,11,SAN,LAS,258,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1158,1155,1308,1310,WN,3503,N615SW,70,75,51,-2,3,SAN,LAS,258,11,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,752,755,1229,1300,WN,1863,N244WN,157,185,147,-31,-3,SAN,MCI,1333,4,6,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,729,725,1255,1320,WN,591,N422WN,206,235,192,-25,4,SAN,MDW,1728,6,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1320,1320,1844,1915,WN,1141,N484WN,204,235,187,-31,0,SAN,MDW,1728,5,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,953,950,1513,1545,WN,1622,N906WN,200,235,187,-32,3,SAN,MDW,1728,5,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1914,1910,36,55,WN,2200,N493WN,202,225,189,-19,4,SAN,MDW,1728,6,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1647,1635,2212,2220,WN,3250,N218WN,205,225,192,-8,12,SAN,MDW,1728,6,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1042,1040,1223,1210,WN,4,N523SW,101,90,86,13,2,SAN,OAK,446,4,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1833,1840,2007,2010,WN,126,N712SW,94,90,83,-3,-7,SAN,OAK,446,4,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1216,1155,1359,1325,WN,132,N270WN,103,90,82,34,21,SAN,OAK,446,4,17,0,,0,8,0,13,0,13,0.0,0.0,0.0,94.0,1
2008,2,2,6,746,735,916,905,WN,646,N253WN,90,90,80,11,11,SAN,OAK,446,3,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,855,855,1033,1025,WN,1044,N397SW,98,90,83,8,0,SAN,OAK,446,5,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,935,935,1105,1105,WN,1116,N482WN,90,90,79,0,0,SAN,OAK,446,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1351,1335,1528,1505,WN,1386,N794SW,97,90,83,23,16,SAN,OAK,446,3,11,0,,0,4,0,7,0,12,0.0,0.0,0.0,94.0,1
2008,2,2,6,1621,1620,1801,1750,WN,1768,N313SW,100,90,87,11,1,SAN,OAK,446,5,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,2116,2000,2244,2130,WN,2033,N313SW,88,90,77,74,76,SAN,OAK,446,4,7,0,,0,74,0,0,0,0,0.0,0.0,0.0,94.0,1
2008,2,2,6,702,705,835,840,WN,2203,N644SW,93,95,81,-5,-3,SAN,OAK,446,4,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1244,1230,1426,1400,WN,2612,N339SW,102,90,84,26,14,SAN,OAK,446,6,12,0,,0,0,0,12,0,14,0.0,0.0,0.0,94.0,1
2008,2,2,6,NA,1505,NA,1635,WN,3230,,NA,90,NA,NA,NA,SAN,OAK,446,NA,NA,1,C,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1717,1720,1858,1850,WN,3400,N477WN,101,90,86,8,-3,SAN,OAK,446,4,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,94.0,1
2008,2,2,6,1607,1610,1814,1820,WN,138,N335SW,67,70,50,-6,-3,SAN,PHX,304,5,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1401,1355,1604,1605,WN,174,N610WN,63,70,47,-1,6,SAN,PHX,304,4,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,728,730,923,935,WN,586,N787SA,55,65,44,-12,-2,SAN,PHX,304,4,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1753,1755,1957,2005,WN,734,N476WN,64,70,50,-8,-2,SAN,PHX,304,4,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,832,830,1039,1040,WN,1210,N314SW,67,70,50,-1,2,SAN,PHX,304,8,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
2008,2,2,6,1122,1120,1326,1330,WN,1445,N515SW,64,70,48,-4,2,SAN,PHX,304,5,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1
