Year,Month,Day,APCode,Snow,Prcp
2010,1,4,IAD,0.0,0.0
2010,1,4,BOS,0.0,0.0
2003,2,17,BOS,599.0,399.0
2008,1,3,IAD,0.0,0.0
2008,1,3,TPA,0.0,0.0
2008,1,3,IND,0.0,0.0
2008,1,3,BWI,0.0,0.0
2008,1,3,JAX,0.0,0.0
2008,1,3,LAS,0.0,0.0
2008,1,3,MCI,0.0,0.0
2008,1,3,MCO,0.0,0.0
2008,1,3,MDW,0.0,0.0
2008,1,3,PHX,0.0,0.0
2008,1,3,ISP,0.0,0.0
2008,1,3,FLL,0.0,0.0
2008,1,3,PBI,0.0,0.0
2008,1,3,RSW,0.0,0.0
2008,1,3,JAN,0.0,0.0
2008,1,3,HOU,0.0,0.0
2008,1,3,BHM,0.0,0.0
2008,1,3,BNA,0.0,0.0
2008,1,3,ORF,0.0,0.0
2008,1,3,ABQ,0.0,0.0
2008,1,3,ALB,0.0,0.0
2008,1,3,AMA,0.0,0.0
2008,1,3,AUS,0.0,0.0
2008,1,3,BDL,0.0,0.0
2008,1,3,BOI,0.0,0.0
2008,1,3,BUF,8.0,0.0
2008,1,3,PHL,0.0,0.0
2008,1,3,BUR,0.0,0.0
2008,1,3,CMH,13.0,5.0
2008,1,3,DEN,0.0,0.0
2008,1,3,ELP,0.0,0.0
2008,1,3,GEG,8.0,13.0
2008,1,3,LAX,0.0,0.0
2008,1,3,CLE,0.0,0.0
2008,1,3,LBB,0.0,0.0
2008,1,3,LIT,0.0,0.0
2008,1,3,MAF,0.0,0.0
2008,1,3,MHT,0.0,0.0
2008,1,3,MSY,0.0,0.0
2008,1,3,OKC,0.0,0.0
2008,1,3,OMA,0.0,0.0
2008,1,3,OAK,0.0,74.0
2008,1,3,ONT,0.0,0.0
2008,1,3,PDX,0.0,53.0
2008,1,3,PIT,0.0,0.0
2008,1,3,PVD,0.0,0.0
2008,1,3,RNO,0.0,0.0
2008,1,3,SAT,0.0,0.0
2008,1,3,SDF,0.0,0.0
2008,1,3,SEA,0.0,48.0
2008,1,3,SFO,0.0,43.0
2008,1,3,SLC,0.0,0.0
2008,1,3,SMF,0.0,112.0
2008,1,3,TUL,0.0,0.0
2008,1,3,TUS,0.0,5.0
2008,1,3,RDU,0.0,0.0
2008,1,3,SAN,0.0,0.0
2008,1,3,SJC,0.0,46.0
2008,1,3,SNA,0.0,0.0
2008,1,3,STL,0.0,0.0
2008,1,3,DAL,0.0,0.0
2008,1,3,DTW,0.0,0.0
2008,1,3,HRL,0.0,0.0
2008,1,4,ABQ,0.0,0.0
2008,1,4,AMA,0.0,0.0
2008,1,4,BWI,0.0,0.0
2008,1,4,DAL,0.0,0.0
2008,1,4,DEN,0.0,0.0
2008,1,4,ELP,0.0,0.0
2008,1,4,HOU,0.0,0.0
2008,1,4,LAS,0.0,0.0
2008,1,4,LAX,0.0,188.0
2008,1,4,LBB,0.0,0.0
2008,1,4,MAF,0.0,0.0
2008,1,4,MCI,0.0,0.0
2008,1,4,MCO,0.0,0.0
2008,1,4,MDW,0.0,0.0
2008,1,4,OAK,0.0,503.0
2008,1,4,PDX,0.0,53.0
2008,1,4,PHX,0.0,0.0
2008,1,4,SAN,0.0,3.0
2008,1,4,SEA,0.0,8.0
2008,1,4,SLC,0.0,0.0
2008,1,4,STL,0.0,0.0
2008,1,4,TPA,0.0,0.0
2008,1,4,TUS,0.0,0.0
2008,1,4,ALB,0.0,0.0
2008,1,4,AUS,0.0,0.0
2008,1,4,BNA,0.0,0.0
2008,1,4,HRL,0.0,0.0
2008,1,4,BDL,0.0,0.0
2008,1,4,BHM,0.0,0.0
2008,1,4,JAX,0.0,0.0
2008,1,4,MSY,0.0,0.0
2008,1,4,SDF,0.0,0.0
2008,1,4,CLE,0.0,0.0
2008,1,4,CMH,0.0,0.0
2008,1,4,DTW,0.0,0.0
2008,1,4,FLL,0.0,0.0
2008,1,4,ONT,0.0,300.0
2008,1,4,PHL,0.0,0.0
2008,1,4,PVD,0.0,0.0
2008,1,4,RDU,0.0,0.0
2008,1,4,SAT,0.0,0.0
2008,1,4,BOI,0.0,10.0
2008,1,4,GEG,0.0,30.0
2008,1,4,RNO,61.0,485.0
2008,1,4,BUF,0.0,0.0
2008,1,4,BUR,0.0,444.0
2008,1,4,SJC,0.0,434.0
2008,1,4,SMF,0.0,348.0
2008,1,4,IND,0.0,0.0
2008,1,4,ISP,0.0,0.0
2008,1,4,JAN,0.0,0.0
2008,1,4,LIT,0.0,0.0
2008,1,4,MHT,0.0,0.0
2008,1,4,OKC,0.0,0.0
2008,1,4,ORF,0.0,0.0
2008,1,4,PBI,0.0,20.0
2008,1,4,PIT,0.0,0.0
2008,1,4,RSW,0.0,0.0
2008,1,4,CRP,0.0,0.0
2008,1,4,TUL,0.0,0.0
2008,1,4,IAD,0.0,0.0
2008,1,4,OMA,0.0,0.0
2008,1,4,SFO,0.0,533.0
2008,1,4,SNA,0.0,89.0
2008,1,5,ABQ,0.0,0.0
2008,1,5,AMA,0.0,0.0
2008,1,5,BWI,0.0,3.0
2008,1,5,DAL,0.0,0.0
2008,1,5,DEN,0.0,0.0
2008,1,5,ELP,0.0,0.0
2008,1,5,HOU,0.0,15.0
2008,1,5,LAS,0.0,18.0
2008,1,5,LAX,0.0,15.0
2008,1,5,LBB,0.0,0.0
2008,1,5,MAF,0.0,0.0
2008,1,5,MCI,0.0,0.0
2008,1,5,MCO,0.0,3.0
