Year,Month,Day,APCode,Snow,Prcp
2008,5,3,LAX,0.0,0.0
2008,5,3,SLC,0.0,0.0
2008,5,3,SMF,0.0,0.0
2008,5,3,STL,0.0,0.0
2008,5,3,TUS,0.0,0.0
2008,5,3,LBB,0.0,0.0
2008,5,3,ABQ,0.0,0.0
2008,5,3,AUS,0.0,0.0
2008,5,3,DAL,0.0,0.0
2008,5,3,ELP,0.0,0.0
2008,5,3,LAS,0.0,0.0
2008,5,3,LIT,0.0,0.0
2008,5,3,BWI,0.0,3.0
2008,5,3,HOU,0.0,0.0
2008,5,3,MDW,0.0,3.0
2008,5,3,PHX,0.0,0.0
2008,5,3,MAF,0.0,0.0
2008,5,3,MCI,0.0,0.0
2008,5,3,BNA,0.0,368.0
2008,5,3,DEN,0.0,0.0
2008,5,3,IND,0.0,8.0
2008,5,3,MCO,0.0,18.0
2008,5,3,OAK,0.0,0.0
2008,5,3,OKC,0.0,0.0
2008,5,3,PDX,0.0,5.0
2008,5,3,SAN,0.0,0.0
2008,5,3,SEA,0.0,23.0
2008,5,3,TPA,0.0,0.0
2008,5,3,TUL,0.0,0.0
2008,5,3,ALB,0.0,15.0
2008,5,3,BDL,0.0,23.0
2008,5,3,BHM,0.0,191.0
2008,5,3,BUF,0.0,107.0
2008,5,3,CLE,0.0,229.0
2008,5,3,CMH,0.0,84.0
2008,5,3,DTW,0.0,8.0
2008,5,3,FLL,0.0,0.0
2008,5,3,IAD,0.0,0.0
2008,5,3,ISP,0.0,0.0
2008,5,3,JAN,0.0,262.0
2008,5,3,MHT,0.0,10.0
2008,5,3,MSY,0.0,257.0
2008,5,3,OMA,0.0,0.0
2008,5,3,ORF,0.0,0.0
2008,5,3,PHL,0.0,3.0
2008,5,3,PIT,0.0,64.0
2008,5,3,PVD,0.0,43.0
2008,5,3,RDU,0.0,0.0
2008,5,3,RSW,0.0,94.0
2008,5,3,SAT,0.0,0.0
2008,5,3,SDF,0.0,175.0
2008,5,3,RNO,0.0,0.0
2008,5,3,SFO,0.0,0.0
2008,5,3,SJC,0.0,0.0
2008,5,3,BOI,0.0,0.0
2008,5,3,BUR,0.0,0.0
2008,5,3,GEG,0.0,0.0
2008,5,3,ONT,0.0,0.0
2008,5,3,SNA,0.0,0.0
2008,5,3,JAX,0.0,0.0
2008,5,3,PBI,0.0,0.0
2008,5,3,HRL,0.0,0.0
2008,5,4,ABQ,0.0,0.0
2008,5,4,AMA,0.0,0.0
2008,5,4,BWI,0.0,0.0
2008,5,4,DAL,0.0,0.0
2008,5,4,DEN,0.0,0.0
2008,5,4,ELP,0.0,0.0
2008,5,4,HOU,0.0,0.0
2008,5,4,LAS,0.0,0.0
2008,5,4,LAX,0.0,0.0
2008,5,4,LBB,0.0,0.0
2008,5,4,MAF,0.0,0.0
2008,5,4,MCI,0.0,0.0
2008,5,4,MCO,0.0,0.0
2008,5,4,MDW,0.0,0.0
2008,5,4,OAK,0.0,0.0
2008,5,4,PDX,0.0,0.0
2008,5,4,PHX,0.0,0.0
2008,5,4,SAN,0.0,0.0
2008,5,4,SEA,0.0,0.0
2008,5,4,SLC,0.0,0.0
2008,5,4,STL,0.0,0.0
2008,5,4,TPA,0.0,0.0
2008,5,4,TUS,0.0,0.0
2008,5,4,ALB,0.0,114.0
2008,5,4,AUS,0.0,30.0
2008,5,4,BNA,0.0,0.0
2008,5,4,HRL,0.0,0.0
