Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,OriginSnow,OriginPrcp,DestSnow,DestPrcp,Holiday
2008,1,1,2,1110,1050,1303,1245,XE,2679,N21129,113,115,99,18,20,EWR,MYR,550,3,11,0,,0,18,0,0,0,0,0.0,43.0,0.0,0.0,3
2008,1,1,2,755,700,854,821,XE,1,N12166,179,201,163,33,55,AUS,ONT,1197,4,12,0,,0,33,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1908,1840,6,2342,XE,10,N16178,178,182,158,24,28,ONT,MCI,1318,9,11,0,,0,24,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1155,1210,1248,1307,XE,100,N11191,53,57,39,-19,-15,FAT,ONT,222,4,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1318,1315,1558,1558,XE,102,N14203,100,103,89,0,3,ONT,ELP,670,4,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1108,1025,1219,1146,XE,103,N12195,131,141,113,33,43,COS,ONT,789,7,11,0,,0,0,0,0,33,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1338,1350,1643,1659,XE,104,N11191,125,129,106,-16,-12,ONT,COS,789,7,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1151,1120,1240,1223,XE,105,N14203,109,123,95,17,31,ELP,ONT,670,4,10,0,,0,0,0,0,0,17,0.0,0.0,0.0,0.0,3
2008,1,1,2,1033,1040,1122,1138,XE,106,N11191,49,58,37,-16,-7,ONT,FAT,222,5,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1531,1540,1811,1821,XE,107,N12195,100,101,84,-10,-9,ONT,ABQ,631,6,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1356,1400,1638,1706,XE,108,N16559,102,126,91,-28,-4,ONT,BOI,660,4,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1839,1845,1958,2019,XE,11,N14174,199,214,187,-21,-6,MCI,ONT,1318,4,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,839,830,1133,1136,XE,114,N16559,114,126,93,-3,9,ONT,BOI,660,5,16,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1216,1210,1317,1312,XE,115,N16559,121,122,103,5,6,BOI,ONT,660,4,14,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,941,955,1156,1224,XE,116,N13550,135,149,125,-28,-14,GEG,ONT,936,3,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1039,915,1345,1224,XE,117,N12175,126,129,109,81,84,ONT,COS,789,7,10,0,,0,81,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1624,1630,1736,1740,XE,118,N14203,72,70,59,-4,-6,ELP,TUS,269,6,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1804,1810,1826,1834,XE,118,N14203,82,84,59,-8,-6,TUS,ONT,409,13,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,808,705,1017,922,XE,119,N14203,69,77,57,55,63,ONT,TUS,409,4,8,0,,0,55,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1036,945,1130,1050,XE,119,N14203,54,65,40,40,51,TUS,ELP,269,4,10,0,,0,0,0,0,0,40,0.0,0.0,0.0,0.0,3
2008,1,1,2,929,915,1435,1417,XE,12,N11199,186,182,164,18,14,ONT,MCI,1318,13,9,0,,0,14,0,4,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1345,1355,1447,1458,XE,120,N12552,62,63,50,-11,-10,MRY,ONT,296,4,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1859,1820,1952,1922,XE,125,N14562,113,122,102,30,39,BOI,ONT,660,3,8,0,,0,30,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1748,1650,1855,1811,XE,143,N27190,127,141,108,44,58,COS,ONT,789,5,14,0,,0,0,0,0,0,44,0.0,0.0,0.0,0.0,3
2008,1,1,2,1212,1215,1318,1325,XE,144,N12552,66,70,46,-7,-3,ONT,MRY,296,3,17,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1602,1610,1646,1707,XE,148,N14188,104,117,91,-21,-8,ABQ,ONT,631,3,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1821,1810,2307,2243,XE,15,N14162,166,153,150,24,11,ONT,SAT,1167,5,11,0,,0,11,0,13,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1615,1550,1716,1659,XE,151,N14568,61,69,46,17,25,FAT,LGB,222,6,9,0,,0,17,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1406,1415,1507,1520,XE,152,N14568,61,65,43,-13,-9,LGB,FAT,222,10,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,703,700,813,817,XE,16,N11193,190,197,164,-4,3,SAT,ONT,1167,18,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,853,845,1326,1318,XE,17,N11193,153,153,141,8,8,ONT,SAT,1167,5,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1359,1345,1525,1515,XE,17,N11193,86,90,71,10,14,SAT,TUL,483,5,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1628,1625,1724,1742,XE,18,N14162,176,197,162,-18,3,SAT,ONT,1167,6,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1429,1425,1550,1600,XE,18,N14162,81,95,68,-10,4,TUL,SAT,483,6,7,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1429,1400,1542,1515,XE,2,N12166,73,75,55,27,29,AUS,OKC,358,6,12,0,,0,0,0,0,0,27,0.0,0.0,0.0,0.0,3
2008,1,1,2,1626,1540,1800,1725,XE,2,N12166,214,225,196,35,46,OKC,SMF,1342,6,12,0,,0,14,0,0,0,21,0.0,0.0,0.0,0.0,3
2008,1,1,2,926,850,1402,1332,XE,2,N12166,156,162,144,30,36,ONT,AUS,1197,5,7,0,,0,10,0,0,0,20,0.0,0.0,0.0,0.0,3
2008,1,1,2,1017,910,1130,1035,XE,200,N14198,73,85,60,55,67,LGB,RNO,402,4,9,0,,0,9,0,0,0,46,0.0,0.0,0.0,0.0,3
2008,1,1,2,1151,1100,1323,1245,XE,200,N14198,92,105,79,38,51,RNO,GEG,572,5,8,0,,0,0,0,0,0,38,0.0,0.0,0.0,0.0,3
2008,1,1,2,1507,1515,1645,1658,XE,201,N11164,98,103,83,-13,-8,GEG,RNO,572,5,10,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1726,1725,1849,1849,XE,201,N11164,83,84,68,0,1,RNO,LGB,402,4,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,650,700,752,805,XE,202,N14562,62,65,47,-13,-10,BFL,SMF,265,7,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,826,830,1017,1030,XE,202,N14562,111,120,94,-13,-4,SMF,GEG,649,5,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1658,1650,1848,1842,XE,205,N14907,110,112,99,6,8,GEG,SMF,649,3,8,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1905,1910,2003,2012,XE,205,N14907,58,62,44,-9,-5,SMF,BFL,265,3,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1553,1555,1859,1855,XE,209,N17560,126,120,110,4,-2,SMF,TUS,752,5,11,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1923,1920,2216,2217,XE,209,N17560,113,117,97,-1,3,TUS,AUS,797,4,12,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,912,915,953,1012,XE,21,N11191,101,117,89,-19,-3,ABQ,ONT,631,3,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,740,745,851,849,XE,21,N11191,131,124,103,2,-5,TUL,ABQ,608,5,23,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,709,715,1122,1032,XE,210,N27190,193,137,116,50,-6,SMF,COS,911,4,73,0,,0,0,0,50,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1720,1730,1857,1909,XE,211,N11191,157,159,138,-12,-10,COS,SMF,911,4,15,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1938,1940,2246,2257,XE,212,N11191,128,137,114,-11,-2,SMF,COS,911,5,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1411,1255,1559,1434,XE,215,N12175,168,159,140,85,76,COS,SMF,911,16,12,0,,0,1,0,9,0,75,0.0,0.0,0.0,0.0,3
2008,1,1,2,1355,1405,1516,1530,XE,216,N14204,81,85,68,-14,-10,OKC,SAT,407,4,9,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
2008,1,1,2,1741,1555,1919,1758,XE,216,N14204,218,243,205,81,106,SAT,SMF,1463,4,9,0,,0,81,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,1949,1825,101,2339,XE,219,N14204,192,194,180,82,84,SMF,SAT,1463,3,9,0,,0,5,0,0,0,77,0.0,0.0,0.0,0.0,3
2008,1,1,2,1804,1740,2251,2233,XE,22,N12163,167,173,154,18,24,ONT,TUL,1236,5,8,0,,0,18,0,0,0,0,0.0,0.0,0.0,0.0,3
2008,1,1,2,804,810,942,949,XE,220,N12201,158,159,131,-7,-6,ABQ,SMF,866,14,13,0,,0,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,3
